,Марка,Модель,Год выпуска,Пробег,Состояние,Владельцев по ПТС,Цена
0,Volkswagen,Passat,2009,180000,не битый,4+,400000
1,Volkswagen,Teramont,2018,35000,не битый,1,2500000
2,Volkswagen,Caravelle,2017,80000,не битый,2,2250000
3,Volkswagen,Polo,2015,74937,не битый,2,545000
4,Volkswagen,Polo,2014,115100,не битый,1,445000
5,Volkswagen,Golf,2011,170000,не битый,4+,430000
6,Volkswagen,Jetta,2014,210000,не битый,1,580000
7,Volkswagen,Tiguan,2017,68000,не битый,2,1648000
8,Volkswagen,Amarok,2014,255000,не битый,2,1270000
9,Volkswagen,Touareg,2016,67000,не битый,2,2700000
10,Volkswagen,Polo,2012,147000,не битый,2,329000
11,Volkswagen,Polo,2013,85500,не битый,2,420000
12,Volkswagen,Jetta,2013,169000,не битый,1,510000
13,Volkswagen,Passat,2009,180000,не битый,4+,400000
14,Volkswagen,Teramont,2018,35000,не битый,1,2500000
15,Volkswagen,Tiguan,2017,59500,не битый,1,1530000
16,Volkswagen,Polo,2016,122201,не битый,1,537000
17,Volkswagen,Polo,2013,68000,не битый,2,437000
18,Volkswagen,Polo,2016,74996,не битый,1,627677
19,Volkswagen,Jetta,2015,108052,не битый,1,660915
20,Volkswagen,Amarok,2014,255000,не битый,2,1270000
21,Volkswagen,Tiguan,2012,163000,не битый,2,760000
22,Volkswagen,Polo,2017,58761,не битый,1,629000
23,Volkswagen,Golf,2013,46326,не битый,1,684000
24,Volkswagen,Tiguan,2012,167000,не битый,1,845000
25,Volkswagen,Polo,2012,143000,не битый,4+,365000
26,Volkswagen,Transporter,1990,25000,не битый,3,60000
27,Volkswagen,Polo,2012,92400,не битый,2,370000
28,Volkswagen,Touareg,2008,190000,не битый,3,749000
29,Volkswagen,Passat CC,2012,191000,не битый,3,718000
30,Volkswagen,Polo,2011,137100,не битый,1,345000
31,Volkswagen,Tiguan,2010,201000,не битый,2,515000
32,Volkswagen,Tiguan,2017,68000,не битый,2,1648000
33,Volkswagen,Touareg,2014,147000,не битый,3,1800000
34,Volkswagen,Passat CC,2009,120000,не битый,4+,485000
35,Volkswagen,Jetta,2011,130000,не битый,3,440000
36,Volkswagen,Tiguan,2012,122000,не битый,3,699000
37,Volkswagen,Polo,2015,86325,не битый,1,594287
38,Volkswagen,Tiguan,2010,120000,не битый,4+,643000
39,Volkswagen,Tiguan,2013,186000,не битый,4+,785000
40,Volkswagen,Polo,2012,109500,не битый,2,379000
41,Volkswagen,Tiguan,2012,148000,не битый,1,760000
42,Volkswagen,Touareg,2011,160000,не битый,2,1250000
43,Volkswagen,Touareg,2008,294600,не битый,4+,649000
44,Volkswagen,Polo,2013,93000,не битый,2,415000
45,Volkswagen,Tiguan,2020,16,не битый,1,2000000
46,Volkswagen,Polo,2013,55000,не битый,2,420000
47,Volkswagen,Polo,2011,109188,не битый,1,415000
48,Volkswagen,Tiguan,2015,122465,не битый,1,1042000
49,Volkswagen,Polo,2017,86166,не битый,1,455000
50,Volkswagen,Touareg,2014,70000,не битый,2,1750000
51,Volkswagen,Touareg,2011,223000,не битый,3,1299999
52,Volkswagen,Polo,2014,92000,не битый,3,485000
53,Volkswagen,Tiguan,2016,89934,не битый,1,945000
54,Volkswagen,Tiguan,2017,58000,не битый,1,1400000
55,Volkswagen,Jetta,2011,98881,не битый,1,532000
56,Volkswagen,Golf,2011,120000,не битый,2,400000
57,Volkswagen,Tiguan,2012,138614,не битый,3,744887
58,Volkswagen,Polo,2018,127000,не битый,2,735000
59,Volkswagen,Passat,2003,278000,не битый,3,233000
60,Volkswagen,Passat,2015,94500,не битый,1,1124900
61,Volkswagen,Passat,2008,199000,не битый,3,368000
62,Volkswagen,Polo,2018,5122,не битый,1,600000
63,Volkswagen,Tiguan,2010,120000,не битый,4+,643000
64,Volkswagen,Polo,2016,74996,не битый,1,627677
65,Volkswagen,Tiguan,2017,68000,не битый,2,1648000
66,Volkswagen,Polo,2017,72000,не битый,2,640000
67,Volkswagen,Tiguan,2019,37000,не битый,1,1500000
68,Volkswagen,Polo,2020,11,не битый,1,779900
69,Volkswagen,Amarok,2014,255000,не битый,2,1270000
70,Volkswagen,Touareg,2016,67000,не битый,2,2700000
71,Volkswagen,Passat,2009,180000,не битый,4+,400000
72,Volkswagen,Polo,2013,106000,не битый,3,408000
73,Volkswagen,Touareg,2008,186000,не битый,4+,600000
74,Volkswagen,Tiguan,2011,140570,не битый,2,591539
75,Volkswagen,Polo,2012,238000,не битый,4+,300000
76,Volkswagen,Scirocco,2010,199000,не битый,1,670000
77,Volkswagen,Polo,2017,76500,не битый,2,585000
78,Volkswagen,Jetta,2016,83610,не битый,1,819528
79,Volkswagen,Polo,2016,130000,не битый,1,560000
80,Volkswagen,Passat,2008,117000,не битый,3,413300
81,Volkswagen,Jetta,2014,184752,не битый,1,583515
82,Volkswagen,Transporter,2006,340000,не битый,2,300000
83,Volkswagen,Polo,2011,292000,не битый,3,325000
84,Volkswagen,Golf,2014,112198,не битый,1,641170
85,Volkswagen,Polo,2012,242000,не битый,2,325000
86,Volkswagen,Polo,2017,130000,не битый,1,580000
87,Volkswagen,Golf,2010,209500,не битый,3,430000
88,Volkswagen,Polo,2012,150000,не битый,3,390000
89,Volkswagen,Tiguan,2011,74000,не битый,2,779000
90,Volkswagen,Polo,2016,64000,не битый,1,535000
91,Volkswagen,Passat,2011,130000,не битый,3,550000
92,Volkswagen,Transporter,2007,261000,не битый,4+,525000
93,Volkswagen,Polo,2018,52000,не битый,1,659000
94,Volkswagen,Jetta,2004,197000,не битый,2,200000
95,Volkswagen,Tiguan,2017,59500,не битый,1,1530000
96,Volkswagen,Tiguan,2016,99145,не битый,2,1595000
97,Volkswagen,Golf,2012,138896,не битый,2,528551
98,Volkswagen,Golf,2015,108016,не битый,1,771560
99,Volkswagen,Jetta,2016,65017,не битый,1,829178
100,Volkswagen,Jetta,2016,73305,не битый,1,829099
101,Volkswagen,Golf,2015,57985,не битый,1,813432
102,Volkswagen,Tiguan,2010,206000,не битый,3,630000
103,Volkswagen,Amarok,2013,174000,не битый,3,920000
104,Volkswagen,Touareg,Владельцев по ПТС: 4+,VIN или номер кузова: XW8Z*************,Тип кузова: универсал,Количество дверей: 5,1010000
105,Volkswagen,Polo,2015,61633,не битый,1,572704
106,Volkswagen,Touareg,2014,105000,не битый,2,1750000
107,Volkswagen,Polo,2015,129580,не битый,1,510000
108,Volkswagen,Polo,2011,137500,не битый,1,391000
109,Volkswagen,Polo,2014,103400,не битый,1,470000
110,Volkswagen,Passat,2003,190000,не битый,2,218000
111,Volkswagen,Golf,2014,107000,не битый,2,585000
112,Volkswagen,Passat,2010,187000,не битый,3,500000
113,Volkswagen,Polo,2013,61502,не битый,1,450000
114,Volkswagen,Jetta,2018,62000,не битый,1,870000
115,Volkswagen,Passat,2006,240000,не битый,3,379000
116,Volkswagen,Tiguan,2012,83000,не битый,3,990000
117,Volkswagen,Golf,2015,59902,не битый,1,771997
118,Volkswagen,Crafter,2016,203581,не битый,1,1200000
119,Volkswagen,Teramont,2018,35000,не битый,1,2500000
120,Volkswagen,Tiguan,2017,59500,не битый,1,1530000
121,Volkswagen,Tiguan,2010,120000,не битый,4+,643000
122,Volkswagen,Passat,2008,230000,не битый,4+,470000
123,Volkswagen,Polo,2018,63000,не битый,1,595000
124,Volkswagen,Tiguan,2016,69000,не битый,2,895000
125,Volkswagen,Polo,2016,74996,не битый,1,627677
126,Volkswagen,Tiguan,2017,68000,не битый,2,1648000
127,Volkswagen,Amarok,2014,255000,не битый,2,1270000
128,Volkswagen,Transporter,2004,326000,не битый,2,460000
129,Volkswagen,Jetta,2015,101274,не битый,1,675000
130,Volkswagen,Tiguan,2014,79000,не битый,1,840000
131,Volkswagen,Passat,2012,148800,не битый,1,565000
132,Volkswagen,Amarok,2013,130000,не битый,3,995000
133,Volkswagen,Touareg,2011,200000,не битый,3,1300000
134,Volkswagen,Jetta,2014,147000,не битый,2,597500
135,Volkswagen,Polo,2013,89500,не битый,1,406000
136,Volkswagen,Passat,2007,262000,не битый,3,415000
137,Volkswagen,Tiguan,2010,170000,не битый,3,600000
138,Volkswagen,Tiguan,2012,160000,не битый,2,643000
139,Volkswagen,Tiguan,2012,99850,не битый,1,870000
140,Volkswagen,Tiguan,2013,125900,не битый,1,715000
141,Volkswagen,Polo,2020,17,не битый,1,773900
142,Volkswagen,Passat,2000,325000,не битый,4+,230000
143,Volkswagen,Multivan,2019,16,не битый,1,3710000
144,Volkswagen,Polo,2020,16,не битый,1,924900
145,Volkswagen,Golf,2014,96000,не битый,2,569000
146,Volkswagen,Polo,2019,16000,не битый,1,799900
147,Volkswagen,Polo,2020,19,не битый,1,961900
148,Volkswagen,Polo,2012,87365,не битый,1,330000
149,Volkswagen,Passat CC,2013,78000,не битый,2,900000
150,Volkswagen,Amarok,2019,19,не битый,1,3216288
151,Volkswagen,Polo,2019,34100,не битый,1,790000
152,Volkswagen,Tiguan,2020,16,не битый,1,1968200
153,Volkswagen,Golf,2013,119000,не битый,2,635000
154,Volkswagen,Polo,2015,92000,не битый,1,475000
155,Volkswagen,Bora,2001,300000,не битый,4+,150000
156,Volkswagen,Passat,2014,67761,не битый,2,829040
157,Volkswagen,Touareg,2008,180000,не битый,1,820000
158,Volkswagen,Jetta,2015,60866,не битый,1,693000
159,Volkswagen,Polo,2017,59500,не битый,1,565000
160,Volkswagen,Tiguan,2011,135000,не битый,3,720000
161,Volkswagen,Jetta,2013,109000,не битый,3,647000
162,Volkswagen,Touareg,2007,215000,не битый,3,459000
163,Volkswagen,Golf,2015,79591,не битый,1,779450
164,Volkswagen,Jetta,2011,143695,не битый,1,485000
165,Volkswagen,Jetta,2011,127685,не битый,2,515000000
166,Volkswagen,Polo,2012,146500,не битый,2,400000
167,Volkswagen,Polo,2014,84020,не битый,1,565000
168,Volkswagen,Polo,2000,235000,не битый,4+,135000
169,Volkswagen,Polo,2012,334456,не битый,1,365000
170,Volkswagen,Polo,2016,46549,не битый,1,619483
171,Volkswagen,Polo,2017,117766,не битый,1,465000
172,Volkswagen,Polo,2015,160000,не битый,1,430000
173,Volkswagen,Polo,2014,132272,не битый,1,465000
174,Volkswagen,Touareg,2014,61000,не битый,2,1700000
175,Volkswagen,Touareg,2016,67000,не битый,2,2700000
176,Volkswagen,Passat,2009,180000,не битый,4+,400000
177,Volkswagen,Teramont,2018,35000,не битый,1,2500000
178,Volkswagen,Passat CC,2012,163000,не битый,2,880000
179,Volkswagen,Tiguan,2012,113000,не битый,2,780000
180,Volkswagen,Polo,2013,108000,не битый,1,420000
181,Volkswagen,Tiguan,2017,59500,не битый,1,1530000
182,Volkswagen,Tiguan,2010,120000,не битый,4+,643000
183,Volkswagen,Polo,2016,74996,не битый,1,627677
184,Volkswagen,Touareg,2011,126500,не битый,2,1175000
185,Volkswagen,Tiguan,2009,351047,не битый,1,439665
186,Volkswagen,Polo,2014,75000,не битый,2,530000
187,Volkswagen,Jetta,2014,59155,не битый,1,704630
188,Volkswagen,Jetta,2012,160293,не битый,1,484788
189,Volkswagen,Tiguan,2016,97305,не битый,1,890000
190,Volkswagen,Tiguan,2016,62150,не битый,3,1249200
191,Volkswagen,Passat,2011,179000,не битый,1,500000
192,Volkswagen,Touareg,2010,193000,не битый,4+,1150000
193,Volkswagen,Passat,1997,220000,не битый,3,162000
194,Volkswagen,Touareg,2016,67000,не битый,2,2700000
195,Volkswagen,Polo,2016,109000,не битый,1,540000
196,Volkswagen,Golf,2009,200000,не битый,3,420000
197,Volkswagen,Polo,2014,155000,не битый,2,485000
198,Volkswagen,Tiguan,2011,138000,не битый,2,750000
199,Volkswagen,Polo,2017,154384,не битый,1,617079
200,Volkswagen,Polo,2011,60000,битый,3,300000
201,Volkswagen,Tiguan,2012,103000,не битый,2,650000
202,Volkswagen,Tiguan,2012,104000,не битый,4+,600000
203,Volkswagen,Passat,2010,153000,не битый,4+,420000
204,Volkswagen,Polo,2016,50000,не битый,2,650000
205,Volkswagen,Passat CC,2013,97200,не битый,2,789000
206,Volkswagen,Polo,2012,185680,не битый,3,352000
207,Volkswagen,Jetta,2015,90000,не битый,1,639000
208,Volkswagen,Jetta,2015,88901,не битый,2,699000
209,Volkswagen,Touareg,2013,140000,не битый,3,1780000
210,Volkswagen,Passat,2002,280000,не битый,4+,220000
211,Volkswagen,Passat CC,2009,230000,не битый,3,559000
212,Volkswagen,Polo,2016,54573,не битый,1,628357
213,Volkswagen,Polo,2012,129300,не битый,2,350000
214,Volkswagen,Tiguan,2012,96000,не битый,4+,520000
215,Volkswagen,Polo,2017,41089,не битый,1,628000
216,Volkswagen,Scirocco,2010,180000,не битый,4+,610000
217,Volkswagen,Jetta,2016,87441,не битый,1,764679
218,Volkswagen,Passat,1988,286000,не битый,4+,70000
219,Volkswagen,Jetta,2016,54765,не битый,1,799852
220,Volkswagen,Pointer,2004,230000,не битый,4+,98000
221,Volkswagen,Polo,2016,142500,не битый,2,528000
222,Volkswagen,Polo,2016,140905,не битый,1,556171
223,Volkswagen,Passat,2012,133000,не битый,3,700000
224,Volkswagen,Polo,2014,39000,не битый,1,420000
225,Volkswagen,Polo,2016,51610,не битый,1,650731
226,Volkswagen,Tiguan,2018,22000,не битый,1,1390000
227,Volkswagen,Golf,2005,250000,не битый,4+,300000
228,Volkswagen,Tiguan,2011,95000,не битый,3,520000
229,Volkswagen,Passat,2011,165000,не битый,3,560000
230,Volkswagen,Amarok,2014,255000,не битый,2,1270000
231,Volkswagen,Polo,2016,74996,не битый,1,627677
232,Volkswagen,Tiguan,2017,59500,не битый,1,1530000
233,Volkswagen,Polo,2012,86000,не битый,1,399000
234,Volkswagen,Golf,2013,115000,не битый,2,700000
235,Volkswagen,Passat,2004,202000,не битый,4+,281200
236,Volkswagen,Passat,2009,180000,не битый,4+,400000
237,Volkswagen,Teramont,2018,35000,не битый,1,2500000
238,Volkswagen,Touareg,2016,67000,не битый,2,2700000
239,Volkswagen,Golf,2015,116457,не битый,1,755914
240,Volkswagen,Golf,2015,85852,не битый,1,832476
241,Volkswagen,Golf,2015,50870,не битый,1,713810
242,Volkswagen,Golf,2001,296000,не битый,4+,180000
243,Volkswagen,Passat,2013,125000,не битый,3,685000
244,Volkswagen,Multivan,2004,181000,не битый,4+,1200000
245,Volkswagen,Touareg,2004,330000,не битый,2,495000
246,Volkswagen,Polo,2014,146000,не битый,1,455000
247,Volkswagen,Golf,2015,119250,не битый,1,655500
248,Volkswagen,Golf,2014,104934,не битый,1,549776
249,Volkswagen,Golf,2015,124324,не битый,1,786798
250,Volkswagen,Polo,2017,44135,не битый,1,687038
251,Volkswagen,Tiguan,2015,160000,не битый,1,699000
252,Volkswagen,Golf,2015,86373,не битый,1,791097
253,Volkswagen,Amarok,2012,176000,не битый,4+,799999
254,Volkswagen,Tiguan,2011,170000,не битый,3,650000
255,Volkswagen,Tiguan,2017,120000,не битый,1,1450000
256,Volkswagen,Touareg,2008,245000,не битый,3,700000
257,Volkswagen,Polo,2014,166900,не битый,2,445000
258,Volkswagen,Polo,2015,110506,не битый,1,559000
259,Volkswagen,Jetta,2015,82736,не битый,1,682477
260,Volkswagen,Jetta,2016,22641,не битый,1,749983
261,Volkswagen,Polo,2016,117273,не битый,1,581360
262,Volkswagen,Jetta,2007,140000,не битый,3,360000
263,Volkswagen,Jetta,2017,42000,не битый,1,735000
264,Volkswagen,Passat,1999,284000,битый,4+,150000
265,Volkswagen,Polo,2015,145000,не битый,2,470000
266,Volkswagen,Polo,2013,138000,не битый,2,360000
267,Volkswagen,Polo,2018,60466,не битый,1,761060
268,Volkswagen,Passat,2011,149000,не битый,3,499999
269,Volkswagen,Jetta,2013,123500,не битый,4+,560000
270,Volkswagen,Passat CC,2010,150000,не битый,4+,600000
271,Volkswagen,Passat CC,2010,176500,не битый,2,580000
272,Volkswagen,Tiguan,2014,78900,не битый,1,950000
273,Volkswagen,Crafter,2008,670000,не битый,2,490000
274,Volkswagen,Polo,2011,160000,не битый,2,390000
275,Volkswagen,Passat CC,2014,112176,не битый,3,879564
276,Volkswagen,Passat,2011,200000,не битый,3,515000
277,Volkswagen,Polo,2016,75000,не битый,2,592000
278,Volkswagen,Jetta,2015,79253,не битый,1,636818
279,Volkswagen,Jetta,2015,64532,не битый,1,663825
280,Volkswagen,Golf,2015,84269,не битый,1,672200
281,Volkswagen,Polo,2011,88000,не битый,2,350000
282,Volkswagen,Tiguan,2012,155500,не битый,2,750000
283,Volkswagen,Golf,2015,92330,не битый,1,689000
284,Volkswagen,Golf,2010,197766,не битый,3,485000
285,Volkswagen,Polo,2014,89033,не битый,1,558232
286,Volkswagen,Teramont,2018,35000,не битый,1,2500000
287,Volkswagen,Tiguan,2010,120000,не битый,4+,643000
288,Volkswagen,Tiguan,2017,68000,не битый,2,1648000
289,Volkswagen,Touareg,2008,191000,не битый,3,855000
290,Volkswagen,Golf,2000,230000,не битый,4+,185000
291,Volkswagen,Passat,2000,350000,не битый,4+,215000
292,Volkswagen,Amarok,2014,255000,не битый,2,1270000
